Temperature,Humidity,Water Production_Day,Avg_Number of People
23.9,88.7,3417.8,1709
23.6,91.1,3488,1744
23.5,88.6,3330.1,1665
22.3,81.2,3066.2,1533
21.3,70.6,2399.5,1200
19.7,66.2,2018.6,1009
19.8,59.8,1692.8,846
23.7,44.2,1205,603
27.7,33.9,828,414
30.0,37.0,1049.4,525
28.6,55.2,2360.7,1180
25.2,80.0,3458.3,1729
24.9,89.8,3617.6,1809
25.1,90.4,3708.9,1855
25,89.2,3617.6,1809
24.8,79.2,3289.3,1645
23.6,63.2,2515.2,1258
21.9,55.8,1615.2,808
22.3,47.2,1219.2,610
26.4,34.4,807.2,404
30.5,28.9,621.2,311
31.6,40.9,1296.5,648
28.5,69.1,3441.8,1721
25.5,87.7,3742.5,1871
22.2,87.8,3220.3,1610
22.3,88.5,3242.5,1621
22.1,87.8,3111.5,1556
21.7,81.2,2795,1398
21.1,68.8,2324.1,1162
20,59.7,1692.8,846
20.5,51.6,1296.2,648
24,38,860.3,430
27.6,29.9,614.1,307
29,36.1,1027.2,514
26.5,61,2632.7,1316
23.1,83.6,3261.7,1631
22.1,92.3,3331.3,1666
22.5,92.3,3331.3,1666
22.4,92.3,3331.3,1666
21.8,89.5,3154.4,1577
21.5,81.5,2711.6,1356
20.1,70.9,2251.8,1126
20.9,62.1,2013.8,1007
24.1,48.8,1414.3,707
27.3,41.1,1204.6,602
28.9,44.2,1526.9,764
27,63.1,2948.2,1474
23.4,87.6,3307.3,1654
24.5,89.6,3595.6,1798
24.4,91.6,3644.5,1822
24.3,90.3,3553.4,1777
23.3,84.9,3161,1581
22.5,75.3,2789.6,1395
21.3,67.6,2340.9,1171
21.6,60.9,2051,1026
25.2,47.8,1463.1,732
28.5,40.6,1229,615
30.4,43.1,1528.4,764
29.9,54.1,2364.9,1183
26.7,77.7,3619.4,1810
25.4,71.5,3107.4,1554
25.2,72.3,3132.5,1566
25,70.1,3082.4,1541
24.6,58.6,2218.5,1109
22.9,44.8,1172,586
20.8,42.6,945.4,473
20.8,37.9,714,357
24.6,27.4,495.2,248
28.8,21.5,425,213
30.8,27.2,627.3,314
28.6,49.3,1924.5,962
26.2,66.7,3027.9,1514
23,83.9,3261.7,1631
22.6,86.4,3198.1,1599
22.6,83.3,3175.9,1588
21.6,76.8,2653.8,1327
20.2,67.8,2232.9,1117
18.4,65,1781.5,891
18.4,59.7,1520.6,760
22.1,45.2,1139,570
26,35,856.1,428
28.2,37.2,1065.1,533
27.2,53,2090.3,1045
24.3,74.7,3073.2,1537
24.5,85.6,3512.4,1756
23.9,88.3,3548.5,1774
23.8,84.5,3440.6,1720
22.7,76.4,2889.7,1445
21.1,65.5,2272.2,1136
19.1,61.5,1892.9,947
19.1,55.4,1404,702
23.1,40.7,992.6,496
27.3,31.2,737.4,369
29.9,33.8,921.1,461
28.6,52.6,2224.1,1112
25.9,75.5,3355.3,1678
22,91.7,3219.7,1610
22.3,91.7,3309.1,1655
22.3,91.7,3309.1,1655
21.7,88.9,3045.3,1523
21.1,81,2692.1,1346
20.1,70.5,2251.8,1126
20.7,61.7,1940.6,970
24,48.5,1414.3,707
27.1,40.8,1141.2,571
28.6,43.9,1457.5,729
26.8,62.7,2921.7,1461
23.2,87.1,3307.3,1654
